X,Y,OBJECTID,NAME
-122.938732179201,49.254593572663,1,LAKE CITY WAY STATION
-123.003426269347,49.2256155015908,2,METROTOWN STATION
-123.001325878324,49.2664230598934,3,BRENTWOOD TOWN CENTRE STATION
-122.917919601087,49.2533896927843,4,PRODUCTION WAY - UNIVERSITY STATION
-122.988630080546,49.2201122031065,5,ROYAL OAK STATION
-122.963678959788,49.2591335567977,6,SPERLING - BURNABY LAKE STATION
-123.012610599773,49.2297526192503,7,PATTERSON STATION
-123.013687408992,49.2648872484459,8,GILMORE STATION
-122.896435080164,49.24823078154,9,LOUGHEED TOWN CENTRE STATION
-122.982009157854,49.2647340597353,10,HOLDOM STATION
-122.959162529378,49.2120140527247,11,EDMONDS STATION
